    x                 f(x)
f(28163.94191) = 0.09122180
f(28164.44209) = -0.68056911
f(28164.94257) = -1.34900633
f(28165.44278) = -1.81150849
f(28165.94296) = -1.99799348
f(28166.44308) = -1.88011623
f(28166.94354) = -1.47551052
f(28167.44375) = -0.84621980
f(28167.94418) = -0.08764699
f(28168.44441) = 0.68398835
    x                 f(x)
f(28170.76789) = 1.64716706
f(28171.26808) = 1.08741867
f(28171.76829) = 0.36196249
f(28172.26854) = -0.41869368
f(28172.76899) = -1.13581198
f(28173.26943) = -1.67970386
f(28173.76971) = -1.96737677
f(28174.26996) = -1.95521402
f(28174.77019) = -1.64510968
f(28175.27042) = -1.08432453
